Sentence	Request
During this scramble, a senior staff member, Kevin Kelly, suggested focusing on bad hours instead of bad actors.	0
Our attempts to find illegal behavior or legal 'misbehavior' by sellers 'bad actors' always seems to fail,'' his memorandum said.	0
It said that the agency could more easily blame high prices on acute shortages during the most critical hours.	0
The suggestion won the day.	0
The commission decided to limit its order to the hours when California declared a Stage 3 emergency, when supplies are critically low.	0
Mr. Stern of Southern California Edison and several private-sector economists have attacked the economic logic of that order.	0
They said that the commission has focused on times when prices might be legitimately high.	0
The bigger worry: Generators can and often do sustain artificially high prices when supplies are not as tight, they say.	0
Mr. Massey, the Democratic commissioner, dissented from the decision for those reasons.	0
Because most high-priced transactions in January and February did not occur during bad hours, he argued, the commission effectively chose to bless as ''just and reasonable'' the hefty profits generators are making from the California crisis.	0
The problem with my agency is that we're so carried away with the rhetoric of markets that we've gotten sloppy,'' Mr. Massey said.	0
We're talking about electricity.	0
It's the juice of the economy, so it's got to be available and reasonably priced.''	0
Williams defends pricing of electricity 03/23/2001 Associated Press Newswires Copyright 2001.	0
The Associated Press.	0
All Rights Reserved.	0
TULSA, Okla. AP - Williams Cos. Inc. says it can justify the rates it charged for wholesale power, despite accusations from federal regulators that it sold over-priced electricity to California.	0
Federal regulators claim Williams Energy Marketing and Trading Co., a unit of Tulsa-based Williams, owes California more than 40 million in refunds for power it sold to the state's Independent System Operator.	0
The Federal Energy Regulatory Commission says that Williams is one of several power providers responsible for 124 million in overcharges from transactions in January and February.	0
The Independent System Operator, which manages the state's power grid, claims the state was overcharged 6.2 billion by 21 wholesale power providers, including Williams, between May and February.	0
Williams says the rates it charged California were fair and were based on production costs and market conditions.	0
Williams is confident that it performed within the guidelines established by the ISO, said Williams spokeswoman Paula Hall Collins.	0
We felt like we had worked within the regulations set up by ISO.	0
According to the commission, power prices levied by Williams in January and February exceeded federal price ceilings based on the cost of natural gas and other market conditions.	0
However, the price ceilings were established after the ISO accepted Williams' power prices, Collins said.	0
The commission will review Williams' explanation and either accept the justification or order the company to pay refunds.	0
Allegheny Energy makes big California connection 03/23/2001 Associated Press Newswires Copyright 2001.	0
HAGERSTOWN, Md.	0
AP - Allegheny Energy Inc. said Thursday it has agreed to sell 4.5 billion worth of power to California's electricity-purchasing agency over the next 10 years.	0
The company said the contract call for Allegheny to provide up to 1,000 megawatts that the Hagerstown-based company has secured from western generating plants through its new energy trading division, Allegheny Energy Global Markets - formerly Merrill Lynch Global Energy Markets.	0
This is a win-win for both the state of California and Allegheny Energy.	0
It provides a long-term source of fixed-price energy and should help to stabilize prices in California, said Michael P. Morrell, president of the Allegheny Energy Supply division.	0
Allegheny Energy is the parent of Allegheny Power, which delivers electric energy and natural gas to parts of Maryland, Ohio, Pennsylvania, Virginia and West Virginia.	0
Williams plans expansion of pipeline to help power Calif. 03/23/2001 Associated Press Newswires Copyright 2001.	0
SALT LAKE CITY AP - The Williams Cos. plans to expands its Kern River pipeline, which runs through Utah, to provide more natural gas for generating plants in California.	0
Williams' gas pipeline unit in Salt Lake City said Thursday that it plans to construct nearly 700 miles of additional pipeline that will run parallel to its existing Kern River line.	0
Construction on the 1 billion project is expected to begin next year and is scheduled for completion in May 2003, said Kirk Morgan, director of business development for Kern River pipeline.	0
Shippers are seeking more access to natural gas from the Rocky Mountain basin, where producers are aggressively stepping up production, Morgan said.	0
The new pipeline is expected to deliver about 900 million cubic feet of natural gas per day to markets in Utah, Nevada and California.	0
Most of the gas will be used for generating plants planned in California.	0
If all of the pipeline's capacity were used to generate electricity, it could produce about 5,400 megawatts.	0
That is enough to light around 4.5 million homes, Morgan said.	0
The original Kern River line was completed in 1992.	0
It enters Utah from Wyoming then crosses into the Salt Lake Valley near Bountiful.	0
It turns south near the Salt Lake City International Airport then runs the length of the state before passing into southern Nevada and winding up near Bakersfield, Calif.	0
It currently transports 700 million cubic feet of natural gas per day.	0
Williams, based in Tulsa, Okla., recently filed an emergency application with federal regulators to install additional pumping stations on the line to increase its capacity by 135 million cubic feet per day.	0
That 81 million pumping station project should be completed by July 1.	0
During the 2002 construction period, the Kern River project will employ between 1,500 and 1,800 people.	0
The company estimates annual property taxes it pays to Utah counties will increase from 3.5 million to about 7 million.	0
Questar will be one of the customers on the new pipeline, Morgan said.	0
The utility wants to supply additional gas to southern Utah cities, including St. George and Cedar City.	0
Our own pipelines serving southern Utah are at full capacity so this is an opportunity to transport additional gas into those areas from company-owned supplies in Wyoming, said Questar Gas spokeswoman Audra Sorensen.	0
Calif Energy Commission OKs 3 Pwr Plants Worth 2,076 MW 03/23/2001 Dow Jones Energy Service Copyright c 2001, Dow Jones & Company, Inc. This article was originally published Thursday LOS ANGELES - Dow Jones - The California Energy Commission Wednesday approved three power plants worth 2,076 megawatts, two of which are scheduled to come on line by the end of 2002, a CEC spokesman said Thursday.	0
The plants approved include BP Amoco PLC BP unit ARCO Western Energy's 500 megawatt Western Midway Sunset Project, slated to come on line in October 2002; Caithness Energy's 520 MW Blythe Power Plant, to come on line by Dec. 31, 2002; and Thermo Ecotek's 1,056 MW Mountainview Power Plant, scheduled to come on line in April 2003.	0
All three of the new plants will be natural gas-fired combined-cycle plants.	0
The 550 million Mountainview plant will be located in Southern California, near San Bernadino.	0
The 300 million Western Midway-Sunset plant will be located in central Kern County, while the 250 million Blythe plant will be located in the city of Blythe in Riverside County.	0
The latest approvals bring to 13 the total number of plants approved since April 1999 by the CEC, a spokesman said.	0
Those plants will supply 8,405 MW to the state, which has seen rolling blackouts and spiking wholesale power prices in the last six months, in part due to lack of supply.	0
-By Jessica Berthold, Dow Jones Newswires; 323-658-3872; jessica.berthold@dowjones.com Some CalEnergy Power Could Be Sold Outside Calif - CEO 03/23/2001 Dow Jones Energy Service Copyright c 2001, Dow Jones & Company, Inc. This article was originally published Thursday LOS ANGELES - Dow Jones - Some of CalEnergy Operating Corp's power could end up being sold outside of California, though that is not the company's intent, CalEnergy Chairman and CEO David Sokol said in a conference call Thursday.	0
CalEnergy, an affiliate of MidAmerican Energy Holdings Co, which is majority owned by Warren Buffett's Berkshire-Hathaway BRKA , was given legal authority Thursday to suspend 270 megawatts of power delivery to Edison International EIX utility Southern California Edison and sell on the open market, because SoCal Edison has not paid its bills since November.	0
CalEnergy stopped supplying power to SoCal Ed immediately following the court ruling.	0
We stopped supplying power at 1 PM PST and have been selling to parties that will pay since then....We are selling it to marketers; our current marketing agent is El Paso Corp EPG and they will sell it for us, Sokol said.	0
Sokol added that while it was his company's intention to have its power sold to California, that could not be guaranteed.	0
We leave the energy selling to El Paso....We've directed them that we would like the power to stay in California but we can't stop them, from selling out of state, Sokol said.	0
Wholesale prices on the open market are about 400- 500 a megawatt-hour, three times more than what the company had received under its contract with SoCal Ed.	0
The court's ruling did not address the 45 million SoCal Ed still owes CalEnergy for November and December power, and Sokol said that his company's separate lawsuit on that matter sought to attach the utility's assets as payment for that debt.	0
Sokol said the court's ruling had significant implications for the entire community of small, independent generators, known as qualifying facilities or QFs, who have not received payment from SoCal Ed.	0
Edison's own lawyer said it best....that every QF in the state will begin to mitigate if the judge allowed us to sell on the open market , Sokol said.	0
Sokol said his company was prepared to push SoCal Ed into involuntary bankruptcy Friday if CalEnergy hadn't won the case, but said he couldn't speculate whether other QFs may be more or less inclined to do so as a result of the court outcome.	0
A group of renewable power suppliers, owed more than 100 million from SoCal Ed, said late Wednesday they want state lawmakers to release them for their supply contracts with PG&E Corp. PCG unit Pacific Gas & Electric and SoCal Ed until the utilities are restored to financial stability.	0
The utilities claim close to 13 billion in undercollections due to an inability to pass high wholesale power costs to customers under a rate freeze.	0
In a statement, SoCal Ed said it opposed CalEnergy's bid to suspend its QF contract because the utility believed Gov.	0
Gray Davis and state regulators are close to resolving very legitimate financial concerns of CalEnergy and other QF suppliers.	0
SoCal Ed said it was concerned that CalEnergy's request to sell to third parties would lead to a major supply shortage in California.	0
The utility said it has informed the QFs that it is working to resolve the issue without giving unfair advantage to one class of creditors.	0
While many of the state's large power suppliers have been paid by on a forward basis for the power they sell into California, the QFs, which make up one-third of the state's total power supply, haven't been paid by SoCal Ed since November.	0
PG&E has made partial payments to its QFs.	0
-By Jessica Berthold, Dow Jones Newswires; 323-658-3872, jessica.berthold@dowjones.com Jason Leopold contributed to this article.	0
California and the West Judge Frees Small Firm From Edison Contract KEN ELLINGWOOD; DAN MORAIN TIMES STAFF WRITERS 03/23/2001 Los Angeles Times Home Edition A-3 Copyright 2001 / The Times Mirror Company El CENTRO -- California's balance of electrical power shifted slightly Thursday when an Imperial County judge temporarily freed a small geothermal energy producer from its contract with Southern California Edison, allowing it to sell power on the open market.	0
The ruling by Superior Court Judge Donal B. Donnelly could lead to a mass exodus by hundreds of small energy producers that have been selling power to the state's financially troubled utilities for months without getting paid.	0
At the same time, it may have staved off plans by a group of the small generators to send Edison into involuntary bankruptcy as early as today.	0
In Sacramento, energy legislation pushed by Gov.	0
Gray Davis passed in the state Senate but foundered in the Assembly.	0
The measure was intended to ensure that the state gets repaid for the electricity that it has been buying on behalf of Edison and Pacific Gas & Electric, which say they lack the cash and credit to purchase power.	0
The bill also was supposed to guarantee that the small, alternative energy producers--which together provide nearly a third of the state's power--get paid.	0
But Assembly Republicans opposed it, saying it hadn't been given sufficient scrutiny.	0
The impact of the small producers was made clear in Imperial County, where Edison's failure to pay CalEnergy, the county's biggest property taxpayer, had outsize implications.	0
CalEnergy had put county officials on notice that it was about to miss a 3.8-million property tax payment.	0
The uncertainty had prompted the tiny Calipatria Unified School District to postpone a bond issue for badly needed school repairs.	0
Among CalEnergy Chairman David Sokol's first acts after the judge's ruling Thursday was to promise Imperial County Supervisor Wally J. Leimgruber that the company would pay its property taxes on time.	0
That is great news, Leimgruber said.	0
Within hours of its court victory, CalEnergy had stopped transmitting geothermal power to Edison and begun selling it to El Paso Energy, a marketing company that purchased the energy at prevailing rates and resold it on the spot market.	0
Some of the more than 700 other small energy producers in the state said they were considering similar action against Edison and Pacific Gas & Electric.	0
We absolutely need the right to sell to third parties, said Dean Vanech, president of Delta Power, a New Jersey company that owns five small gas-fired plants in California and is owed tens of millions of dollars by Edison.	0
Sokol praised the Imperial County judge and said his company simply wanted the authority to sell its power to a credit-worthy company that, in fact, pays for the power.	0
An Edison spokesman said the company was disappointed with the ruling, but sympathized with CalEnergy and other small producers because California's power crisis has placed them in financial distress, just as it has placed utilities in financial distress.	0
Edison expressed concern that the ruling would prompt CalEnergy and other small producers to sell their power out of state.	0
Sokol said CalEnergy had specifically told El Paso Energy that it hoped its power would remain in California, but if someone wants to pay a higher price out of state, we can't stop them.	0
Sokol said that Edison still owes CalEnergy 140 million and that the company--along with seven other small producers--had been prepared to file a petition in federal bankruptcy court in Los Angeles today forcing the utility into involuntary bankruptcy.	0
He said his company no longer intends to do so, and he believed--but wasn't certain--that the other companies would shelve their plans.	0
Edison filed papers Thursday with the federal Securities and Exchange Commission showing that it owed 840 million to various small electricity producers, many of which rely on renewable energy sources such as geothermal steam, solar energy or wind.	0
The alternative energy producers--and utilities--strenuously objected to the legislation considered in Sacramento on Thursday.	0
The bill, spelling out how the utilities are to pay the state and the small producers, passed the Senate on a 27-9 vote, the exact two-thirds margin required.	0
But it stalled in the Assembly on a 46-23 party-line vote, well short of two-thirds.	0
When I was a citizen back in Lancaster, I heard these stories about pieces of legislation that were cooked up late at night, that .	0
were cut and pasted together and were rammed through by the Legislature, Assemblyman George Runner R-Lancaster said.	0
That's exactly what we have before us.	0
The alternative electricity generators, including oil companies, warned that they would lose money under the Davis proposal, while representatives of Edison and PG&E, which have amassed billions in debt in the worsening energy crisis, said the legislation would push them deeper into the hole.	0
There isn't enough money, Edison attorney Ann Cohn testified at a Senate hearing on the bill Thursday.	0
It is a very simple question: Dollars going out cannot be greater than dollars coming in.	0
The bill, AB 8X, combined several proposals.	0
First, it sought to clarify earlier legislation by spelling out that Edison and PG&E must pay the state all money collected from consumers for electricity that the state has been buying.	0
Additionally, the bill would turn over to the California Public Utilities Commission the thorny issue of how much to pay alternative energy producers for their electricity.	0
Wind, solar and geothermal producers might agree to the prices offered by the administration.	0
But most of the alternative energy producers, including Chevron and British Petroleum, use natural gas to generate electricity through cogeneration, a process of creating steam for both electric generation and heat.	0
With natural gas prices high, they contend, they would lose money at the prices Davis is offering.	0
* Ellingwood reported from El Centro, Morain from Sacramento.	0
Times staff writers Mitchell Landsberg in Los Angeles and Jenifer Warren, Nancy Vogel and Carl Ingram in Sacramento contributed to this story.	0
BEGIN TEXT OF INFOBOX / INFOGRAPHIC Power Points Background The state Legislature approved electricity deregulation with a unanimous vote in 199	0
The move was expected to lower power bills in California by opening up the energy market to competition.	0
Relatively few companies, however, entered that market to sell electricity, giving each that did considerable influence over the price.	0
Meanwhile, demand has increased in recent years while no major power plants have been built.	0
These factors combined last year to push up the wholesale cost of electricity.	0
But the state's biggest utilities--Pacific Gas & Electric and Southern California Edison--are barred from increasing consumer rates.	0
So the utilities have accumulated billions of dollars in debt and, despite help from the state, have struggled to buy enough electricity.	0
* Daily Developments * Overcharges by major electricity suppliers were estimated at 6.3 billion, up from the 5.5 billion first thought, California's power grid operator said.	0
* Electricity producers denied that they have profiteered and argued that Cal-ISO's figures don't take into account all their costs.	0
* A Superior Court judge's ruling Thursday freeing a small producer from its contract with Edison could lead to a mass exodus by small energy producers that have been selling to the utilities without getting paid.	0
Meanwhile, a California state judge handed down a decision involving small power producers that could result in more electricity being made available in the energy-starved state, but likely at greater cost to the state government.	0
The 6.2 billion figure was contained in a market analysis by the California Independent System Operator filed yesterday with the Federal Energy Regulatory Commission.	0
The ISO says it isn't seeking a refund -- for the May through February period -- because its analysis lacked important market data.	0
For example, it estimated costs for 21 suppliers based on published prices for natural gas, not on specific data showing what each generator actually paid for the fuel.	0
We don't know how much gas actually was purchased at spot-market prices, said Anjali Sheffrin, the ISO's head of market analysis.	0
Charles Robinson, general counsel for the ISO, said FERC needs to become more aggressive about market-power mitigation.	0
The ISO's filing, he said, was intended to push the agency in that direction, since FERC is responsible for policing deregulated electricity and natural-gas markets.	0
He said that if the FERC doesn't act, the state of California may find ways to discipline the market, such as through the state attorney general's office.	0
The attorney general has been investigating the state's electricity market for many months but hasn't brought any court action.	0
Dynegy Inc., a big owner of power plants in California, said it will provide additional information to FERC supporting its position that the prices it has charged for power have been just and reasonable.	0
The Houston company was one of 13 energy suppliers that the FERC this month ordered to pay refunds totaling 124 million or show cause why it should be excused.	0
Dynegy said the FERC analysis was flawed, because it used inaccurate prices for natural gas and pollution credits.	0
While big power producers such as Dynegy came under attack, small power producers won a potentially significant victory in a state court in Southern California's Imperial County.	0
A judge granted 10 geothermal plants operated by the CalEnergy Co. unit of MidAmerican Energy Holdings Co., a unit of Berkshire Hathaway Inc., of Omaha, Neb., permission to suspend deliveries of electricity to Southern California Edison Co. and instead seek other buyers.	0
These plants, known as qualifying facilities, are under long-term contract to Edison and other utilities but haven't been paid for months.	0
Edison, a unit of Edison International, of Rosemead, Calif., says it has been unable to pay hundreds of millions of dollars in power bills to CalEnergy and others because it has been driven to the brink of insolvency by the state's failed utility-deregulation plan.	0
While the CalEnergy case involves only about 320 megawatts of power, the repercussions could be far greater.	0
Collectively, hundreds of qualifying facilities, or QFs, produce as much as 30% of California's electricity needs.	0
QFs totaling 3,000 megawatts cut their production in recent weeks for lack of payment.	0
This loss of output was a significant cause of the blackouts that hit California this week.	0
Observers believe the CalEnergy court decision could give other QFs an opportunity to sell power in the open market, presumably to the state government that now is California's biggest energy buyer.	0
An hour after the court decision yesterday, some 400 megawatts of power came back into the market, the ISO said.	0
However, additional QF power sales on the open market could substantially increase the state's tab.	0
Already, the state has allocated more than 4 billion for electricity purchases.	0
Separately, Edison said in a Securities and Exchange Commission filing that its unpaid power bills could contribute to a write-off of as much as 2.7 billion for 2000.	0
Because of uncertainty caused by the energy crisis, the company hasn't yet reported year-end earnings.	0
Power regulators debate who should be exempted from blackouts By KAREN GAUDETTE Associated Press Writer 03/22/2001 Associated Press Newswires Copyright 2001.	0
SAN FRANCISCO AP - State power regulators said Thursday they are working to exempt all California hospitals, regardless of size, from rolling blackouts.	0
The Public Utilities Commission met with representatives from hospitals and investor-owned utilities after Los Angeles lawyer David Huard filed an emergency motion with the PUC on behalf of more than 500 hospitals throughout the state.	0
Under PUC rules, hospitals with more than 100 beds are exempt from losing electricity during power emergencies.	0
But during rolling blackouts Monday, at least a dozen hospitals from Long Beach to Clearlake were forced to use their backup generators.	0
Pacific Gas and Electric Co. and Southern California Edison Co. say they blacked out those hospitals specifically because they have backup generators.	0
Both utilities said the temporary blackouts were part of their overall efforts to spread the burden of blackouts over more of their customers.	0
Linda Ziegler, director of business and regulatory planning for SoCal Edison, said the utility is following state law and will implement new guidelines if the PUC changes them.	0
But hospitals say there is a 10-second lapse before emergency generators kick in, which could harm patients in the midst of delicate surgical procedures such as organ transplants or brain surgery.	0
You wouldn't fly a plane with only your emergency backup systems in place, said Ann Mosher, a spokeswoman for California Pacific Medical Center in San Francisco.	0
Backup generators are just that, they're not designed to keep the hospital up and running at full capacity.	0
Ziegler said that power still goes out for reasons beyond the energy crisis, from incidents like lightning or a knocked-down power pole.	0
If it's a serious problem for the hospital it's certainly something they should be address just from an ongoing basis, she said.	0
The exemption would cover all hospitals within the territory of the state's investor owned utilities PG&E, Southern California Edison and San Diego Gas and Electric.	0
Hospitals within the range of municipally owned utilities, such as the Los Angeles Department of Water and Power, are separately regulated.	0
For more than two decades, prisons, hospitals with more than 100 beds and emergency services such as fire and police departments have been classified as essential services, and are exempted from blackouts by order of state power regulators.	0
After rolling blackouts began darkening the state in January, many other public service groups began seeking relief from power interruptions, including transit systems, schools and water districts.	0
U.S. District Judge Frank C. Damrell Jr. said Californians were at risk of irreparable harm if Reliant Energy REI stopped selling power to the Independent System Operator, which oversees the state's power grid.	0
The ISO buys last-minute power on behalf of utilities to fill gaps in supply.	0
Damrell dismissed Reliant's attempt to force the state Department of Water Resources to back the ISO's purchases for the state's two biggest utilities.	0
The state has been spending about 50 million a day on power for Pacific Gas and Electric Co. and Southern California Edison, both denied credit by suppliers after amassing billions of dollars in debts.	0
The judge said he had no authority to force the DWR to pay for that power.	0
Gov.	0
Gray Davis has said the state isn't responsible for purchasing the costly last-minute power ISO buys for Edison and PG&E, despite a law authorizing state power purchases on the utilities' behalf.	0
ISO attorney Charles Robinson said the ruling gives ISO operators a tool to assist them in keeping the lights on in California.	0
Had the decision gone the other way, one could expect other generators to simply ignore emergency orders, Robinson said.	0
Damrell's preliminary injunction will remain in effect until the Federal Energy Regulatory Commission rules on the matter.	0
Damrell denied the ISO's request for preliminary injunctions against three other wholesalers - Dynegy Inc. DYN , AES Corp. AES and Williams Cos. WMB - which agreed to continue selling to the ISO pending the FERC ruling.	0
Spokesmen for Reliant, Dynegy, AES and Williams were out of the office Wednesday night and didn't immediately return calls from The Associated Press seeking comment on the ruling.	0
The ISO went to court in February after a federal emergency order requiring the power sales expired.	0
The judge then issued a temporary restraining order, requiring the sales, but dropped it after the suppliers agreed to continue sales to California pending his Wednesday ruling.	0
The ISO said it would lose about 3,600 megawatts if the suppliers pulled out, enough power for about 2.7 million households.	0
One megawatt is enough for roughly 750 homes.	0
Grid officials said Reliant's share alone is about 3,000 megawatts.	0
Reliant said the amount at issue actually is less than a fourth of that, because most of its output is already committed under long-term contracts.	0
Reliant, which currently provides about 9% of the state's power, worries it won't get paid due to the financial troubles of PG&E and Edison.	0
PG&E and Edison say that together they have lost about 13 billion since June due to soaring wholesale electricity costs that California's 1996 deregulation law bars them from passing onto customers.	0
Calif Small Pwr Producers To Shut Plants If Rates Capped By Jason Leopold Of DOW JONES NEWSWIRES 03/22/2001 Dow Jones Energy Service Copyright c 2001, Dow Jones & Company, Inc. LOS ANGELES - Dow Jones - Many of California's independent power producers late Wednesday threatened to take their small power plants offline this week if state lawmakers pass legislation that would cap the rates the generators charge for electricity they sell directly to the state's three investor-owned utilities.	0
At issue is a bill that would repeal a section of the state's Public Utilities Code, which links the 688 so-called qualifying facilities' electricity rates to the monthly border price of natural gas.	0
Lawmakers, however, are poised to pass the legislation.	0
State regulators are then expected to approve a measure that would restructure the fluctuating rates the QFs charge PG&E Corp. PCG unit Pacific Gas & Electric, Edison International EIX unit Southern California Edison, and Sempra Energy SRE unit San Diego Gas & Electric from 170 a megawatt-hour to 69- 79/MWh, regardless of the price of natural gas.	0
Whereas each of the 688 QF contracts differed, largely because natural gas prices are higher in Southern California than Northern California, the state wants the QFs to sign a general contract with the utilities.	0
The cogeneration facilities, which produce about 5,400 megawatts of electricity in the state, said the rates are too low and they won't sign new supply contracts with the utilities.	0
For 79/MWh, natural gas would have to be 6 per million British thermal unit at the Southern California border, said Tom Lu, executive director of Carson-based Watson Cogeneration Company, the state's largest QF, generating 340 MW.	0
Our current gas price at the border is 12.50.	0
Other gas-fired QFs said the state could face another round of rolling blackouts if lawmakers and state regulators pass the legislation, which is expected to be heard on the Senate floor Thursday, and allow it to be implemented by Public Utilities Commission next week.	0
Lu, whose company is half-owned by BP Amoco PLC BP and is owed 100 million by SoCal Ed, said the proposals by the PUC and the Legislature will only make things worse.	0
David Fogarty, spokesman for Western States Petroleum Association, whose members supply California with more than 2,000 MW, said the utilities need to pay the QFs more than 1 billion for electricity that was already produced.	0
State Loses 3,000 MW QF Output Due Of Financial Reasons The QFs represent about one-third, or 9,700 MW, of the state's total power supply.	0
Roughly 5,400 MW are produced by natural gas-fired facilities.	0
The rest is generated by wind, solar power and biomass.	0
About 3,000 MW of gas-fired and renewable QF generation is offline in California because the power plant owners haven't been paid hundreds of millions of dollars from cash-strapped utilities SoCal Ed and PG&E for nearly four months.	0
Several small power plant owners owed money by SoCal Ed have threatened to drag the utility into involuntary bankruptcy if the utility continues to default on payments and fails to agree to supply contracts at higher rates.	0
The defaults have left many of the renewable and gas-fired QFs unable to operate their power plants because they can't afford to pay for the natural gas to run their units.	0
Others continue to produce electricity under their contracts with the state's utilities but aren't being paid even on a forward basis.	0
The California Independent System Operator, keeper of the state's electricity grid, said the loss of the QF generation was the primary reason rolling blackouts swept through the state Monday and Tuesday.	0
Gray Davis, recognizing the potential disaster if additional QFs took their units offline, held marathon meetings with key lawmakers Monday and Tuesday to try and hammer out an agreement that would get the QFs paid on a forward basis and set rates of 79/MWh and 69/MWh for five and 10 year contracts.	0
He also said he would direct the PUC to order the utilities to pay the QFs for power they sell going forward.	0
After next week the QF problem will be behind us, Davis said Tuesday.	0
We want to get the QFs paid...the QFs are dropping like flies...and when that happens the lights go out.	0
But this just makes the problem worse, said Assemblyman Dean Florez, D-Shafter, a member of the Assembly energy committee.	0
I don't know how we are going to keep the lights on, Florez said in an interview.	0
Many of these congenerators are in my district.	0
They said if the legislation doesn't change they are going offline.	0
This compounds the issue of rolling blackouts, especially now when we need every megawatt.	0
Davis, who didn't meet with people representing the QFs, said he was handing the QF issue to the PUC because lawmakers failed to pass legislation that would have set a five-year price for natural gas and allow the QFs to sign individual contracts with the utilities.	0
In addition, SOCal Ed opposed the legislation, saying the rates should be below 50/MWh.	0
Some renewable power producers said they aren't vehemently opposed to the new rate structure because it guarantees them a higher rate than what was originally proposed.	0
QFs Want Third Party Supply Contracts John Wood, who represents the SoCal Ed Gas Fired Creditors Committee, one of a handful of groups that have formed since January to explore options on getting paid by the utilities, said his group of gas-fired QF creditors want to be released from their supply contracts and sell to third parties.	0
Under our plan, we would be permitted to sell electricity to third parties including the state Department of Water Resources until a resolution to the crisis can be accomplished, wood said.	0
Hal Dittmer, president of Sacramento-based Wellhead Electric in Sacramento, which is owed 8 million by PG&E, has 85 MW of gas-fired generation units offline.	0
Under the state's plan, Dittmer said he risks going out of business.	0
I can't buy natural gas for what I would be paid under this decision, he said.	0
The state needs to quit kidding themselves that they don't need to raise electricity rates.	0
All of this is being driven by an artificial construct that California can avoid raising rates.	0
-By Jason Leopold, Dow Jones Newswires; 323-658-3874; jason.leopold@dowjones.com Power Strain Eases but Concerns Mount Energy: Officials say summer prices will be high, and a state report shows that contracts with generators are far short of goals.	0
DAN MORAIN; JENIFER WARREN TIMES STAFF WRITERS 03/22/2001 Los Angeles Times Home Edition A-3 Copyright 2001 / The Times Mirror Company SACRAMENTO -- California's fragile electricity system stabilized Wednesday, but a Davis administration report suggested troubles ahead because the state could be forced to buy most of its power for the coming summer on the costly and volatile spot market.	0
After two days of statewide blackouts, power plants that had been shut down were cranked up.	0
Unseasonable heat tapered off.	0
The operators of the statewide power grid relaxed their state of emergency.	0
But plenty of ominous signs remained.	0
Many small producers remained shut down, skeptical about Gov.	0
Gray Davis' plan for utilities to pay them.	0
State Controller Kathleen Connell issued a sharp warning about the high cost of the state's foray into the power business and announced that she will block an administration request that she transfer 5.6 billion into an account that could be tapped to pay for state purchases of electricity.	0
And a report from the administration summarizing contracts between Davis and independent power generators showed that the state has signed contracts for only 2,247 megawatts of electricity, significantly less than the 6,000 to 7,000 megawatts previously claimed.	0
While there are agreements in principle for the full amount, the report notes that generators can back out of the contracts for a variety of reasons, including the state's failure to sell bonds to finance power purchased by July 1.	0
The Legislature has approved plans to sell 10 billion in bonds, but none have yet been issued.	0
We are exposed enormously this summer, Senate Energy Committee chairwoman Debra Bowen D-Marina del Rey said after looking at the report.	0
We owe the people the truth about how difficult this summer is going to be.	0
We don't have a power fairy.	0
Perhaps most significant, the report suggests that the contracts fall significantly short of Davis' stated goal of buying no more than 5% of the state's summer needs on the spot electricity market, where prices can be many times those of long-term contracts.	0
After reading the report, Frank Wolak, a Stanford University economist who studies the California electricity market, said the numbers suggested that the state's long-term contracts will cover less than half of what the state will need this summer.	0
We're definitely short this summer, next summer and the summer of 2003, he said.	0
California was forced to start buying electricity in December--at a cost of 50 million a day--because producers refused to sell to Southern California Edison and Pacific Gas & Electric.	0
The two utilities amassed billions of dollars in debt when prices for wholesale power soared on the spot market.	0
Vikram Budhraja, a consultant retained by Davis to negotiate deals with generators, said the report represents a work in progress.	0
He said the state may yet sign new contracts.	0
However, Wolak said the contract figures confirm what he and others have been dreading: that summer is going to be rife with rolling blackouts unless serious steps to cut demand are taken immediately.	0
Wolak and other experts say large industrial customers must be switched to real-time meters and pricing to persuade them to use the bulk of their energy at times of low demand.	0
The head of the Energy Foundation, a San Francisco-based nonprofit that promotes sustainable sources of power, made the same proposal to Davis on Wednesday.	0
The government need not ask customers to swelter in the dark this summer, foundation President Hal Harvey argued in a letter.	0
He also proposed a crash campaign to boost sales of efficient appliances and lightbulbs.	0
He said the state needs to take over the utilities' contracts with alternative energy providers to ensure they stay in business, and sign new contracts for 1,500 megawatts of new wind power--the cheapest, fastest and cleanest source of new supply.	0
Davis had proposed a formula Tuesday to force private utilities to pay the alternative producers, some of which have not been paid since November.	0
But some of them warned Wednesday that Davis' plan offers them little incentive to turn on their generators.	0
Alternative energy producers supply more than a quarter of the electricity consumed in California.	0
Many producers generate electricity from wind, sun and geothermal sources.	0
But most of them generate power using natural gas--and the cost of natural gas has been soaring.	0
Several natural gas users said Davis' plan, which caps rates, won't cover their fuel costs.	0
Davis assumes that the price of natural gas will fall.	0
But small generators say they don't have sufficient purchasing power or sophistication to gamble on future prices.	0
The Public Utilities Commission is expected to approve Davis' proposal next week.	0
It offers producers two choices: 7.9 cents a kilowatt-hour if they agree to supply power for five years, or 6.9 cents a kilowatt-hour over 10 years.	0
The price of natural gas is higher than that, said Marty Quinn, executive vice president and chief operating officer of Ridgewood Power LLC, which owns three natural gas-fired co-generation plants.	0
If we operate, we'll lose money.	0
Ridgewood is not operating, having been cut off by gas suppliers.	0
The company sued PG&E last month seeking overdue payments and release from its contracts with the utility.	0
A hearing is scheduled in El Centro today in another lawsuit filed by a small energy producer, an Imperial Valley geothermal producer that sued Edison for refusing to let it break its contract and sell on the open market.	0
